prime,word_index,kernel_length,full_scalar_identity,full_delta_match,strict_visible_x_power,strict_block_length,has_proper_non_scalar_precursor,has_any_prefix_power_hit,min_proper_prefix_power_hit,min_any_prefix_power_hit,num_proper_prefix_power_hits,num_prefix_power_hits,factor_period_length,source_class,sources,kernel_factor_ids
5,1,54,False,True,False,,True,True,29,29,1,1,54,CRISPR,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[3]|braids-summer-research/results/crispr_results/crispr_p5_n4_seed1 (corrupted)/kernel_hits.json[0]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[3],7 7 10 13 4 13 4 2 13 20 13 20 13 10 2 13 4 13 4 13 7 21 20 13 20 13 10 16 16 2 13 4 13 4 13 21 20 13 20 13 21 10 13 4 13 4 2 16 13 11 13 11 13 21
5,2,54,False,True,False,,True,True,29,29,1,1,54,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[2]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[2],7 7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 13 20 13 20 13 21
5,3,54,False,True,False,,True,True,13,13,2,2,54,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[1]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[1],7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 13 20 13 20 13 21 7
5,4,54,False,True,False,,True,True,27,27,2,2,54,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[4]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[4],16 13 20 13 20 13 21 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 7 7 21 11 13 11 13 10 2 13 8 13 8 2 13 11 13 11 13 21 7 10 13 8 13 8 2 16
5,5,55,True,False,False,,False,True,,55,0,1,55,other,braids-summer-research/results/braid_diffusion_repair/p5_paper_repair_search_seed1/candidates.jsonl:1230|braids-summer-research/results/braid_diffusion_repair/p5_paper_repair_search_seed1/summary.json[1],13 7 10 13 4 13 4 2 13 20 13 20 13 10 2 13 4 13 4 13 7 21 20 13 20 13 10 16 16 2 13 4 13 4 13 21 20 13 20 13 21 10 13 4 13 4 2 16 13 11 13 11 13 21 21
5,6,55,True,False,False,,True,True,40,40,1,2,55,paper_bank,braids-summer-research/results/braid_diffusion_repair/p5_paper_repair_search_seed1/candidates.jsonl:1|braids-summer-research/results/braid_diffusion_repair/p5_paper_repair_search_seed1/summary.json[0]|braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:138|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:1,21 7 10 13 4 13 4 2 13 20 13 20 13 10 2 13 4 13 4 13 7 21 20 13 20 13 10 16 16 2 13 4 13 4 13 21 20 13 20 13 21 10 13 4 13 4 2 16 13 11 13 11 13 21 10
5,7,55,True,False,False,,True,True,40,40,1,2,55,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[5]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[5]|burau-experiments/src/kernel_db.json,21 7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 13 20 13 20 13 21 10
5,8,60,True,False,True,12,True,True,12,12,4,5,12,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6],20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13
5,9,63,False,True,False,,False,False,,,0,0,63,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:139|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:2,16 13 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 7 7
5,10,65,True,False,False,,False,True,,65,0,1,65,BraidZero,braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard6_task7/candidates.jsonl:4|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard6_task7/candidates.jsonl:5|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard6_task7/candidates.jsonl:6|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard6_task7/run_ledger.jsonl:1|braids-summer-research/results/BraidZero/p5_frontier8_bucket_reservoir_len66_x4/replica0_shard6_task7/summary.json,2 2 13 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 21 11 13 11 13 10 2 13 8 13 8 13 7 21 21
