prime,word_index,kernel_length,full_scalar_identity,full_delta_match,strict_visible_x_power,strict_block_length,has_proper_non_scalar_precursor,has_any_prefix_power_hit,min_proper_prefix_power_hit,min_any_prefix_power_hit,factor_period_length,source_class,sources,kernel_factor_ids
3,1,24,True,False,True,8,True,True,8,8,8,kernel_db,burau-experiments/src/kernel_db.json,2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10
3,2,24,True,False,True,8,True,True,8,8,8,kernel_db,burau-experiments/src/kernel_db.json,2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10
3,3,24,True,False,False,,False,True,,24,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 10 13 4 13 11 22 13 10 2 13 8 13 11 13 7 11 16 3 4 13 20 13 10
3,4,24,True,False,False,,False,True,,24,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 10 13 8 13 20 17 13 10 2 13 4 13 20 13 7 20 16 12 8 13 11 13 10
3,5,24,True,False,True,8,True,True,2,2,8,kernel_db,burau-experiments/src/kernel_db.json,13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2
3,6,24,True,False,True,8,True,True,2,2,8,kernel_db,burau-experiments/src/kernel_db.json,13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2
3,7,24,True,False,False,,True,True,3,3,24,kernel_db,burau-experiments/src/kernel_db.json,10 13 4 13 11 19 7 4 16 13 8 13 20 13 21 10 13 6 8 13 11 13 10 13
3,8,24,True,False,False,,True,True,3,3,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,10 13 4 13 11 22 13 10 2 13 8 13 11 13 7 11 16 3 4 13 20 13 10 13
3,9,24,True,False,False,,True,True,3,3,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,10 13 8 13 20 17 13 10 2 13 4 13 20 13 7 20 16 12 8 13 11 13 10 13
3,10,24,True,False,False,,False,True,,24,24,kernel_db,burau-experiments/src/kernel_db.json,2 2 13 4 13 20 13 10 16 13 8 13 21 21 11 13 10 13 4 13 7 11 13 10
3,11,24,True,False,False,,False,True,,24,24,kernel_db,burau-experiments/src/kernel_db.json,22 3 4 13 20 13 10 13 10 13 4 13 11 22 13 10 2 13 8 13 11 13 7 10
3,12,24,True,False,False,,False,True,,24,24,kernel_db,burau-experiments/src/kernel_db.json,17 12 8 13 11 13 10 13 10 13 8 13 20 17 13 10 2 13 4 13 20 13 7 10
3,13,24,True,False,True,8,True,True,8,8,8,kernel_db,burau-experiments/src/kernel_db.json,8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6
3,14,24,True,False,False,,False,True,,24,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 4 2 13 11 13 10 13 8 16 13 7 20 13 21 10 13 8 13 20 13 7 10 16
3,15,24,True,False,False,,False,True,,24,24,kernel_db,burau-experiments/src/kernel_db.json,13 8 2 13 20 13 10 13 4 16 13 7 11 13 21 10 13 4 13 11 13 7 10 16
3,16,24,True,False,False,,False,True,,24,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,2 13 4 13 20 13 10 16 13 8 13 21 21 11 13 10 13 4 13 7 11 13 10 2
3,17,24,True,False,False,,False,True,,24,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,2 13 8 13 11 13 10 16 13 4 13 21 21 20 13 10 13 8 13 7 20 13 10 2
3,18,24,True,False,False,,True,True,3,3,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 8 13 20 17 13 10 2 13 4 13 20 13 7 20 16 12 8 13 11 13 10 13 10
3,19,24,True,False,False,,False,True,,24,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 4 16 13 11 13 10 13 8 2 2 13 20 13 7 10 13 8 13 20 13 21 21 10
3,20,24,True,False,False,,False,True,,24,24,kernel_db,burau-experiments/src/kernel_db.json,13 8 16 13 20 13 10 13 4 2 2 13 11 13 7 10 13 4 13 11 13 21 21 10
3,21,24,True,False,True,8,True,True,3,3,8,kernel_db,burau-experiments/src/kernel_db.json,13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10
3,22,24,True,False,False,,False,True,,24,24,kernel_db,burau-experiments/src/kernel_db.json,16 13 4 13 20 13 10 2 13 8 16 13 7 11 13 10 13 4 13 21 11 13 7 10
3,23,24,True,False,False,,False,True,,24,24,kernel_db,burau-experiments/src/kernel_db.json,16 13 8 13 11 13 10 2 13 4 16 13 7 20 13 10 13 8 13 21 20 13 7 10
3,24,24,True,False,False,,True,True,3,3,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 4 13 20 13 10 16 13 8 13 21 21 11 13 10 13 4 13 7 11 13 10 2 2
3,25,24,True,False,False,,True,True,3,3,24,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 8 13 11 13 10 16 13 4 13 21 21 20 13 10 13 8 13 7 20 13 10 2 2
